model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.attention.self.query.weight,1e-07,1.0,0.0,0.0,nan,0.006574141709276844,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.attention.self.key.weight,1e-07,2322.097790730071,9.130752373995617e-05,16.730923686404633,0.06739596677044393,0.008035062089116142,9.130752373995617e-05,0.0,0.99990869247626,9.130752373995617e-05,0.0,0.00014457088607203132
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.attention.self.value.weight,1e-07,21842.708691657503,0.0011869978086194303,147.5629566628602,0.04187471596348237,0.008765522279035792,0.0011869978086194303,0.0,0.9988130021913806,0.0011869978086194303,0.0,0.0005735257981067755
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.attention.output.dense.weight,1e-07,1.0,0.0,0.0,nan,0.005843681519357195,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.intermediate.dense.weight,1e-07,1583.6746326544244,9.130752373995617e-05,14.434470446435474,0.08119354411313007,0.015339663988312637,9.130752373995617e-05,0.0,0.99990869247626,9.130752373995617e-05,0.0,0.00012495108057216953
roberta-large,sst-5,int8,dense,roberta.encoder.layer.9.output.dense.weight,1e-07,10852.471688129912,0.0006391526661796933,98.13523745154946,0.023354347838959184,0.010226442658875092,0.0006391526661796933,0.0,0.9993608473338204,0.0006391526661796933,0.0,0.0004308872090257017
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.attention.self.query.weight,1e-07,1.0,0.0,0.0,nan,0.01241782322863404,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.attention.self.key.weight,1e-07,1.0,0.0,0.0,nan,0.006574141709276844,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.attention.self.value.weight,1e-07,1.0,0.0,0.0,nan,0.006574141709276844,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.attention.output.dense.weight,1e-07,13216.522902477396,0.001095690284879474,114.21700756688098,0.03926733958856605,0.006574141709276844,0.001095690284879474,0.0,0.9989043097151206,0.001095690284879474,0.0,0.0005063783498051155
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.intermediate.dense.weight,1e-07,1.0,0.0,0.0,nan,0.004382761139517896,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.10.output.dense.weight,1e-07,13332.970162621892,0.0014609203798392988,115.53727386712568,0.026203590043493333,0.009495982468955442,0.0014609203798392988,0.0,0.9985390796201608,0.0014609203798392988,0.0,0.0004776277895903827
roberta-large,sst-5,int8,dense,roberta.encoder.layer.11.attention.self.query.weight,1e-07,23463.132880980833,0.0008217677136596055,152.700055639793,0.027820096555511792,0.010226442658875092,0.0008217677136596055,0.0,0.9991782322863404,0.0008217677136596055,0.0,0.00042339953060801903
roberta-large,sst-5,int8,dense,roberta.encoder.layer.11.attention.self.key.weight,1e-07,52879.32416904666,0.0014609203798392988,230.10790012403731,0.02900927911372127,0.01168736303871439,0.0014609203798392988,0.0,0.9985390796201608,0.0014609203798392988,0.0,0.0006453283802806583
