model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,sst-5,fp16,dense,none_or_native,0.01,,,,1.0,0.999999999911601,1.0000000011263248,1
roberta-large,sst-5,fp32,dense,none_or_native,1e-05,,,,1.0,1.0000000525835189,1.0000000025583198,1
roberta-large,sst-5,fp32,dense,none_or_native,0.0001,,,,1.0,1.000000010362745,1.0000000004483165,1
roberta-large,sst-5,fp32,dense,none_or_native,0.001,,,,1.0,1.0000000008910417,0.999999999127056,1
roberta-large,sst-5,fp32,dense,none_or_native,0.003,,,,1.0,0.9999999997441888,1.0000000098702937,1
roberta-large,sst-5,fp32,dense,none_or_native,0.01,,,,1.0,1.0000000016828197,1.0000000028073217,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,520.6148408606313,-0.3174248255279775,,0.0018967024162096,15.10373288823871,0.0541414665466798,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,131.6099831233774,0.0437620853215876,,0.0057052351714821,8.732649145790841,0.094029884021254,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,152.00736243338048,-0.1904546729816665,,0.0192187323519578,4.808340531405499,0.1730948784891444,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,7.878052618273031,0.1990490637486484,,0.0592438397153341,2.814515667831029,0.3057670376556202,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.001,5.71634754735968,0.3975037669969221,,0.2101450007793263,1.5921971424861032,0.5807719993496581,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,1.854662029725723,0.364601671925615,,0.3195277555470257,1.3315159474410367,0.7135441309683229,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.5421256760967027,0.8274394211254475,,0.416768057364265,1.2025323771684056,0.8029951122294233,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.7942113862009239,0.6225660652153692,,0.5600577544133324,1.0937261239081604,0.8943770244621909,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.5531507315920412,0.7293692668156866,,0.6519027823776747,1.049149761506203,0.933966286955596,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.7080436334674773,0.5912501752502053,,0.7134667905118612,1.0260769118568365,0.9541183737309704,1
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.8575605885759294,0.3845377139574787,,0.8498525541231001,0.984444649871826,0.9826030492091292,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.0001,534.2268379612483,-0.0002281511397125,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.0003,33.26400660434287,-0.2355481413531298,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.001,1.0,,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.003,2.8043921158142533,0.7192526244473116,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.01,0.1454386917412415,0.9329343663500972,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.03,0.0145550301119782,0.9929629325359678,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.1,0.0066331658477356,0.9968194336154408,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,0.3,0.1527440364586833,0.9210712739511075,,,,,1
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,1.0,1.2417121217130465,0.3377667456576788,,,,,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0001,33.952474015549406,0.03206417718495059,,0.00038286000792018697,2.4011368576400653,0.056804694303638104,3
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0002,68.75019255475048,-0.3414403777684858,,0.0022365223237749,4.600769932927514,0.1816154989348229,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0003,21.962357725546315,-0.027099817258881734,,0.0013238371526883331,1.593190382855053,0.1430125078941483,3
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0005,15.183043390704194,0.13215243872746155,,0.002832723695426667,1.4508813672192027,0.24630985231338323,3
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0007,38.1221004227159,0.064531484287017,,0.0081497407270577,2.508053873038828,0.3491953275584299,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.00085,22.03883748009522,0.1586874163910353,,0.0099906018550496,2.286617293575319,0.3871926701831585,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.001,7.19538871855308,0.18479116522465555,,0.009661098991773134,1.337517327099644,0.47565989723820595,3
